name,repo,tag,dir,pkg
kubernetes-kubelet,https://github.com/kubernetes/kubernetes.git,v1.32.0,kubernetes,./cmd/kubelet
kubernetes-apiserver,https://github.com/kubernetes/kubernetes.git,v1.32.0,kubernetes,./cmd/kube-apiserver
prometheus,https://github.com/prometheus/prometheus.git,v2.54.0,prometheus,./cmd/prometheus
etcd,https://github.com/etcd-io/etcd.git,v3.5.16,etcd/server,.
terraform,https://github.com/hashicorp/terraform.git,v1.9.0,terraform,.
hugo,https://github.com/gohugoio/hugo.git,v0.131.0,hugo,.
consul,https://github.com/hashicorp/consul.git,v1.19.0,consul,.
vault,https://github.com/hashicorp/vault.git,v1.17.0,vault,.
traefik,https://github.com/traefik/traefik.git,v3.1.0,traefik,./cmd/traefik
minio,https://github.com/minio/minio.git,RELEASE.2024-07-16T23-46-41Z,minio,.
gitea,https://github.com/go-gitea/gitea.git,v1.22.0,gitea,.
containerd,https://github.com/containerd/containerd.git,v1.7.20,containerd,./cmd/containerd
nats-server,https://github.com/nats-io/nats-server.git,v2.10.18,nats-server,.
caddy,https://github.com/caddyserver/caddy.git,v2.8.4,caddy,./cmd/caddy
tidb,https://github.com/pingcap/tidb.git,v8.5.0,tidb,./cmd/tidb-server
tailscale,https://github.com/tailscale/tailscale.git,v1.78.0,tailscale,./cmd/tailscaled
nomad,https://github.com/hashicorp/nomad.git,v1.9.4,nomad,.
loki,https://github.com/grafana/loki.git,v3.3.2,loki,./cmd/loki
jaeger,https://github.com/jaegertracing/jaeger.git,v1.65.0,jaeger,./cmd/jaeger
opa,https://github.com/open-policy-agent/opa.git,v0.70.0,opa,.
helm,https://github.com/helm/helm.git,v3.16.4,helm,./cmd/helm
grafana,https://github.com/grafana/grafana.git,v11.4.0,grafana,./pkg/cmd/grafana-server
k3s,https://github.com/k3s-io/k3s.git,v1.31.4+k3s1,k3s,.
argocd,https://github.com/argoproj/argo-cd.git,v2.13.2,argo-cd,./cmd
pulumi,https://github.com/pulumi/pulumi.git,v3.144.0,pulumi/pkg,./cmd/pulumi
mattermost,https://github.com/mattermost/mattermost.git,v10.2.0,mattermost/server,./cmd/mattermost
drone,https://github.com/harness/drone.git,v2.25.0,drone,./cmd/drone-server
